Voltage_measured,Current_measured,Temperature_measured,Time
3.873017221300996,-0.001200660698297908,24.65535783391511,0.0
3.479393559379272,-4.030268477538787,24.66647981177477,2.532
4.000587822429767,1.5127306474745377,24.675394470060205,5.5
4.01239519378372,1.5090632819299827,24.693865093855624,8.343999999999998
4.019708059348954,1.5113181929087844,24.705069460327003,11.125000000000004
4.025409466688173,1.5127791303050797,24.718139716943565,13.891000000000002
4.030636266078126,1.5118383429157671,24.731144146729346,16.672
4.035348958689254,1.5102454035974533,24.74128965448197,19.500000000000004
4.039716366731289,1.507795762302671,24.759011413717104,22.282
4.043541209582787,1.5073220259362292,24.766891094649452,25.063
4.046724068525119,1.5102259388805979,24.77833907611839,27.828
4.050320832174241,1.5118533604283586,24.795653409093354,30.641000000000002
4.05347775737346,1.5101392891691983,24.79560886309641,33.453
4.056879474053084,1.5128177135836196,24.80759178608512,36.218999999999994
4.06020401031697,1.5095776610977216,24.826646252886473,39.735
4.063091479523415,1.512772145564553,24.83742133279075,42.578
4.066063636258206,1.5097694943288513,24.846759302784914,45.438
4.068105681238579,1.5113677696899488,24.849166658437596,48.297
4.070910890874503,1.5133979843086343,24.852949981513827,51.188
4.073140624023925,1.5111973524598337,24.86507398527065,54.047
