,cycle_index,n_points,duration_s,voltage_start,voltage_end,voltage_delta,voltage_slope_V_per_s,voltage_std,current_mean,current_std,temp_start,temp_end,temp_change,energy_proxy_VAs,capacity,capacity_ratio
cycle_index,1.0,0.05695544390838249,-0.02958404604335732,0.0790036139240056,0.20709648993338,0.08824634669424829,0.0949617103254179,-0.017314168116853823,-0.02517283768822961,0.2752230044120995,-0.1908589074796503,-0.021124453714270654,0.05033348398865212,-0.006204350741125084,-0.8818429438890778,-0.8641603139599875
n_points,0.05695544390838249,1.0,0.8724345220924014,-0.5513808619652354,0.737038860209962,0.7250451243767421,-0.04448402181968528,-0.6138470191366187,0.820818544511894,0.2564472589155519,0.3333031971715278,-0.8223149073024844,-0.7356118524617642,0.8357246612017915,-0.17863264639036713,-0.1887188859972859
duration_s,-0.02958404604335732,0.8724345220924014,1.0,-0.7286918232296864,0.8222189994541519,0.8649111119103781,-0.08128644759324438,-0.6481266135009993,0.9745470655186376,0.3197638072194354,0.6082711846739814,-0.9430085790157205,-0.9220542207801659,0.9781009536147115,0.9522552235909015,0.8885430414229658
voltage_start,0.0790036139240056,-0.5513808619652354,-0.7286918232296864,1.0,-0.6244269592583188,-0.8773120350457764,-0.3777787334238241,0.09443241149408901,-0.7443233963542194,-0.26797819666721207,-0.5739180427368993,0.7102445287911793,0.7346588159113245,-0.7494010789538875,0.1536527307327799,0.31276034405649406
voltage_end,0.20709648993338,0.737038860209962,0.8222189994541519,-0.6244269592583188,1.0,0.9226750526636096,0.04803457141915249,-0.46943627894089923,0.8744196010471488,0.6573945919764206,0.5184150061593216,-0.904156941899876,-0.8615715885191481,0.8815763104452112,-0.7479441602521274,-0.6751959358310214
voltage_delta,0.08824634669424829,0.7250451243767421,0.8649111119103781,-0.8773120350457764,0.9226750526636096,1.0,0.21601177825314694,-0.33508281745835267,0.9047683803435169,0.5362547284530107,0.6018416088585252,-0.9061497543781136,-0.8920360764621279,0.9116727831824354,-0.7492313267819949,-0.6802628367293175
voltage_slope_V_per_s,0.0949617103254179,-0.04448402181968528,-0.08128644759324438,-0.3777787334238241,0.04803457141915249,0.21601177825314694,1.0,0.7730807674881661,0.03088327782007425,-0.1964314907303255,-0.03839526912484568,-0.06012130686711619,-0.03203605044828274,0.0034178228545008525,-0.12704643689235987,-0.2306492251285814
voltage_std,-0.017314168116853823,-0.6138470191366187,-0.6481266135009993,0.09443241149408901,-0.46943627894089923,-0.33508281745835267,0.7730807674881661,1.0,-0.545802348810922,-0.31516793714316765,-0.3373501358709693,0.5363004369371006,0.5214885894806006,-0.5635516043471026,-0.18503313205119215,-0.1713774630076777
current_mean,-0.02517283768822961,0.820818544511894,0.9745470655186376,-0.7443233963542194,0.8744196010471488,0.9047683803435169,0.03088327782007425,-0.545802348810922,1.0,0.3740422683226774,0.6234475596134235,-0.9727324269287058,-0.9498777281705034,0.9964421232407834,-0.8835730506818218,-0.8819307868119678
current_std,0.2752230044120995,0.2564472589155519,0.3197638072194354,-0.26797819666721207,0.6573945919764206,0.5362547284530107,-0.1964314907303255,-0.31516793714316765,0.3740422683226774,1.0,0.24686432881266648,-0.45768635920602935,-0.43081802516088663,0.4064759867459729,-0.8556482396886989,-0.8237614985593773
temp_start,-0.1908589074796503,0.3333031971715278,0.6082711846739814,-0.5739180427368993,0.5184150061593216,0.6018416088585252,-0.03839526912484568,-0.3373501358709693,0.6234475596134235,0.24686432881266648,1.0,-0.5945424038919279,-0.7953543558976648,0.6241822489250543,0.09458680165868992,0.01284238286579243
temp_end,-0.021124453714270654,-0.8223149073024844,-0.9430085790157205,0.7102445287911793,-0.904156941899876,-0.9061497543781136,-0.06012130686711619,0.5363004369371006,-0.9727324269287058,-0.45768635920602935,-0.5945424038919279,1.0,0.9602512127333978,-0.968881143503746,0.5239730618671364,0.5092606866662146
temp_change,0.05033348398865212,-0.7356118524617642,-0.9220542207801659,0.7346588159113245,-0.8615715885191481,-0.8920360764621279,-0.03203605044828274,0.5214885894806006,-0.9498777281705034,-0.43081802516088663,-0.7953543558976648,0.9602512127333978,1.0,-0.9472275022967379,0.515592426296795,0.5236889899835049
energy_proxy_VAs,-0.006204350741125084,0.8357246612017915,0.9781009536147115,-0.7494010789538875,0.8815763104452112,0.9116727831824354,0.0034178228545008525,-0.5635516043471026,0.9964421232407834,0.4064759867459729,0.6241822489250543,-0.968881143503746,-0.9472275022967379,1.0,-0.9988389078010598,-0.9674586467680425
capacity,-0.8818429438890778,-0.17863264639036713,0.9522552235909015,0.1536527307327799,-0.7479441602521274,-0.7492313267819949,-0.12704643689235987,-0.18503313205119215,-0.8835730506818218,-0.8556482396886989,0.09458680165868992,0.5239730618671364,0.515592426296795,-0.9988389078010598,1.0,0.9586127238670268
capacity_ratio,-0.8641603139599875,-0.1887188859972859,0.8885430414229658,0.31276034405649406,-0.6751959358310214,-0.6802628367293175,-0.2306492251285814,-0.1713774630076777,-0.8819307868119678,-0.8237614985593773,0.01284238286579243,0.5092606866662146,0.5236889899835049,-0.9674586467680425,0.9586127238670268,1.0
