file,cell_key,cycle_index,n_points,duration_s,voltage_start,voltage_end,voltage_delta,voltage_slope_V_per_s,voltage_std,current_mean,current_std,temp_start,temp_end,temp_change,energy_proxy_VAs,capacity,capacity_ratio,discharge_frac,discharge_voltage_slope,discharge_curvature_coeff,voltage_plateau_fraction
B0005.mat,B0005,0,789,7597.875,3.873017221300996,4.191077562801999,0.3180603415010026,8.578433112832416e-06,0.045764989123261914,0.6434546691871927,0.6254070302865201,24.65535783391511,24.507040498124308,-0.14831733579080364,11724.694929490204,,,0.034220532319391636,6.907102496989935e-05,-2.2569937885330893e-09,0.7692307692307693
B0005.mat,B0005,1,197,3690.234,4.191491807505295,3.277169976825196,-0.9143218306800986,-0.0002057156278070008,0.2359570706808563,-1.8187019641679727,0.593546181674474,24.330033885570543,34.230852841540965,9.900818955970422,-23794.120854293327,1.8564874208181574,1.0,0.9898477157360406,-0.0002068700067425094,-2.5917112221879283e-09,0.04639175257731959
B0005.mat,B0005,2,940,10516.0,3.3250546568448542,4.189061841085507,0.8640071842406525,4.457782240588988e-05,0.1773798660372038,0.9490426727251161,0.666259837238909,29.341850509195503,24.949952033579347,-4.391898475616156,27469.387282445125,,,0.01702127659574468,0.00011448460317512775,-6.492874457390725e-09,0.7333333333333333
B0005.mat,B0005,3,196,3672.344,4.189773213846608,3.3002448871222545,-0.8895283267243532,-0.0002046711068351993,0.23476492928592219,-1.8175598506612867,0.5951796218062511,24.697751935729325,34.3921365871887,9.694384651459377,-23712.186325374078,1.846327249719927,0.9945272071416714,0.9693877551020408,-0.00020203645698920792,-3.1830105975537485e-09,0.05291005291005291
B0005.mat,B0005,4,937,10484.547,3.3526036599987754,4.187398225806162,0.8347945658073868,4.459827974670212e-05,0.17528687641434834,0.9505286974657304,0.6669530273269925,29.553300732538816,24.977085475273373,-4.576215257265442,27356.822467612204,,,0.023479188900747065,0.00011189210399823046,-5.229190667156743e-09,0.8095238095238095
B0005.mat,B0005,5,195,3651.641,4.188186735991303,3.3274510098686276,-0.8607357261226758,-0.00020015941349001918,0.22752543549673088,-1.8164865418840956,0.5964980204475099,24.734266163954402,34.23277871576327,9.498512551808865,-23602.46378883462,1.8353491942234077,0.9886138595081705,0.9692307692307692,-0.0002028711486970273,1.92204969807843e-09,0.05319148936170213
B0005.mat,B0005,6,933,10397.89,3.378798976512954,4.188054956074227,0.8092559795612733,4.469057929409511e-05,0.1726065412766279,0.9523115206216739,0.6662704587130999,29.456340289732644,24.89522226435173,-4.561118025380914,27249.632111483454,,,0.023579849946409433,9.442334330843692e-05,-5.9300466754810655e-09,0.7619047619047619
B0005.mat,B0005,7,194,3631.563,4.188461118855572,3.314181858907029,-0.8742792599485427,-0.0002051396459299235,0.23274431724182537,-1.8255891938692528,0.5834624841611844,24.65423646922845,34.413449952605504,9.759213483377053,-23599.35274213141,1.8352625275821128,0.9885671763794173,0.979381443298969,-0.00020280507122315158,-3.1836349922522463e-09,0.047619047619047616
B0005.mat,B0005,8,937,10495.203,3.372870917439266,4.188438430915413,0.8155675134761471,4.428583575934127e-05,0.17353550330211395,0.9477284862498987,0.6684150117614278,29.4813335075363,24.676120049044766,-4.805213458491533,27202.72589516791,,,0.030949839914621132,9.461863611598842e-05,-6.34716197322625e-09,0.8214285714285714
B0005.mat,B0005,9,194,3629.172,4.188298524761055,3.30549673128648,-0.8828017934745747,-0.00020802723780733985,0.2366885716567803,-1.8261139590277586,0.5834685498827803,24.524796959348127,34.34588498997869,9.821088030630566,-23590.463828648513,1.8346455082120419,0.9882348178817771,0.979381443298969,-0.00020632719804059327,-7.039370817942725e-09,0.047619047619047616
B0005.mat,B0005,10,952,10792.672,3.366774899409287,4.188694683535447,0.8219197841261598,4.276593245058727e-05,0.17408492131430156,0.9326606943848299,0.6731501315206839,29.39582042914756,24.634213014325965,-4.761607414821594,27201.776867729815,,,0.04096638655462185,9.30708319862303e-05,-7.06276655569997e-09,0.868421052631579
B0005.mat,B0005,11,195,3652.281,4.188815807948604,3.302329112973759,-0.8864866949748449,-0.00020864213748499768,0.23931625998293235,-1.8168108743168803,0.5967015706365189,24.522297376927863,34.20092692100587,9.67862954407801,-23608.2306031517,1.8356616600675495,0.9887821697485943,0.958974358974359,-0.0002101836640002387,-4.386328807585745e-09,0.053763440860215055
B0005.mat,B0005,12,952,10789.985,3.361035656604376,4.188638651396802,0.8276029947924264,4.2903317392334975e-05,0.17492119103637335,0.9322724824266048,0.6740521218860146,29.438424119486054,24.70447199077869,-4.733952128707365,27171.907420635598,,,0.04726890756302521,0.00010686140005637062,-9.882743338447265e-09,0.9090909090909091
B0005.mat,B0005,13,195,3650.828,4.18839163793879,3.2937406695499014,-0.8946509683888886,-0.00021108551769777575,0.2425153341196382,-1.816791144707133,0.5964919190059063,24.58487828579781,34.298284762513184,9.713406476715374,-23607.52013939563,1.8351461429226603,0.9885044855913476,0.9743589743589743,-0.00021123355727212345,-4.912696044889573e-09,0.05291005291005291
B0005.mat,B0005,14,920,10127.562,3.3539426477782506,4.1877086746418675,0.8337660268636169,4.758010731723177e-05,0.1775571053031069,0.9653291698755072,0.6618959022597396,29.499916243604982,25.015446088155624,-4.484470155449358,27193.224340671495,,,0.014130434782608696,9.799416621613569e-05,3.113172798817148e-09,0.5833333333333334
B0005.mat,B0005,15,191,3572.453,4.188927891511958,3.3162307407741536,-0.8726971507378045,-0.000205432005237595,0.22731251096165395,-1.8443412120754061,0.5573831672048897,24.713628799279793,34.76224183630716,10.04861303702737,-23529.096007332177,1.8257567905665537,0.9834468955151549,0.9738219895287958,-0.00020449396915112338,-4.854849810408316e-09,0.04864864864864865
B0005.mat,B0005,16,921,10147.952999999994,3.3865272244675415,4.188512669392655,0.8019854449251138,4.6564405245111505e-05,0.1735869632454472,0.9616213808811537,0.6639718144564338,29.668813794471543,24.86129216091919,-4.807521633552351,27026.054247245036,,,0.023887079261672096,0.00011111510633922639,-5.664553396415395e-09,0.8095238095238095
B0005.mat,B0005,17,190,3550.594,4.189029250882121,3.297410935416153,-0.8916183154659678,-0.00021046263171324147,0.2324538495076242,-1.853972745505648,0.5424840616663397,24.635211633324694,35.05182952791622,10.416617894591525,-23506.314029824483,1.8247738529891333,0.9829174345738104,0.9842105263157894,-0.00020789764327653194,-7.987728451515678e-09,0.03763440860215054
B0005.mat,B0005,18,921,10162.094,3.3775954668097983,4.188642231288737,0.811046764478939,4.675844191901677e-05,0.17484391180363582,0.9608152867945828,0.6641380078436662,29.779288735822295,24.804853897903335,-4.97443483791896,27036.764736063225,,,0.02280130293159609,9.626644882552035e-05,-6.485403235081884e-09,0.75
B0005.mat,B0005,19,190,3551.25,4.189223427076418,3.2884044830952868,-0.9008189439811312,-0.00021337141064168083,0.23672870147542147,-1.8535899338510957,0.5423346882876612,24.572057664095553,35.02973666184703,10.45767899775148,-23497.947899635597,1.824613268496936,0.982830935473199,0.9789473684210527,-0.00021551315478503597,-1.0476631019944344e-08,0.043243243243243246
B0005.mat,B0005,20,920,10119.375,3.3716530712399884,4.188499139829088,0.8168460685890997,4.7124997997233057e-05,0.17554945525461832,0.961954518108792,0.6634398558389827,29.71100043300344,24.64105420165238,-5.069946231351061,27013.748726885176,,,0.025,9.76329083731532e-05,-7.081504799040392e-09,0.7727272727272727
B0005.mat,B0005,21,189,3530.25,4.188916055911241,3.2662755750614747,-0.9226404808497661,-0.0002187503111372353,0.2430973444996006,-1.863380178294828,0.5267409991401001,24.43671599422777,35.32247968803144,10.885763693803671,-23483.024992459286,1.8246195526864504,0.9828343204622076,0.9788359788359788,-0.00022078037272979813,-1.7210229600099285e-08,0.043478260869565216
B0005.mat,B0005,22,913,10013.235,3.3611695077131323,4.187948562214486,0.8267790545013538,4.8253173557692456e-05,0.17729439023205582,0.9688176644385617,0.6609868652694818,29.79634895864274,24.88434656107144,-4.9120023975713,27026.207212574544,,,0.019715224534501644,9.860755064771749e-05,-2.8253772014570064e-10,0.6470588235294118
B0005.mat,B0005,23,897,9586.875,3.6478422660572436,4.1891081856815315,0.5412659196242879,4.248872432986498e-05,0.1443924545276609,0.948479102987148,0.6653019848519954,30.37677905152779,25.004315058030098,-5.372463993497693,25278.324011576748,,,0.021181716833890748,7.333959439033059e-05,-2.369617601689692e-09,0.7777777777777778
